Area,Happiness,Year,NoReligion,NoSport,ChildhoodObesity,CPP,SuicideRates,RoadAccidents,CrimeRates
Greenwich,7.07,2015,28.4,56.80%,27.7,42,29,,79.9
Hackney,7.25,2015,33.8,49.30%,27,36,24,,101.1
Hammersmith and Fulham,7.45,2015,30.6,48.30%,21.3,50,19,,114.3
Haringey,7.23,2015,33.9,48.90%,23.8,42,27,,95.4
Harrow,7.46,2015,12.8,53.80%,20.2,30,21,,53.3
Havering,7.53,2015,27.9,53.80%,21.8,40,15,,67.7
Hillingdon,7.37,2015,20.6,61.60%,21.1,48,45,,73.8
Hounslow,7.47,2015,13.5,54.10%,24.1,32,29,,81.6
Islington,7.11,2015,41.4,43.70%,22.8,44,18,,123.6
Kensington and Chelsea,7.6,2015,26.1,46.50%,18.6,22,12,,124.7
Kingston upon Thames,7.59,2015,24.6,48.10%,16.9,40,12,,58.5
Lambeth,7.11,2015,38,44.80%,23,62,33,,107.9
Lewisham,7.26,2015,33.8,54.60%,23.6,57,20,,83.1
Merton,7.5,2015,27.3,45.60%,19.2,39,13,,63.2
Newham,7.62,2015,11,62.40%,27.6,41,25,,90.4
Redbridge,7.67,2015,13,53.30%,23.3,36,28,,66.2
Richmond upon Thames,7.65,2015,29.8,37.20%,12.6,26,16,,55.1
Southwark,7.35,2015,34.4,52.70%,27.6,50,32,,101.7
Sutton,7.28,2015,34,53.80%,18.4,55,14,,54.7
Tower Hamlets,7.58,2015,20.7,52.40%,27.1,51,20,,97.4
Waltham Forest,7.51,2015,23.2,54.40%,26.3,36,23,,80.4
Wandsworth,7.44,2015,34.8,33.50%,19.3,32,24,,74.1
Westminster,7.41,2015,24.2,45.50%,24.9,28,20,,203.1
City of London,x,2016,-,61.90%,,x,0,,
Barking and Dagenham,7.38,2016,13,67.00%,29.6,42,10,,70.9
Barnet,7.63,2016,23.4,49.30%,19,30,23,,55.8
Bexley,7.45,2016,25.6,54.20%,24.5,29,17,,45.6
Brent,7.59,2016,14.9,57.20%,28.3,26,20,,70.8
Bromley,7.34,2016,33.9,47.40%,17.4,32,15,,52.7
Camden,7.35,2016,35.7,35.70%,23.1,55,15,,103.1
Croydon,7.61,2016,27.8,50.00%,23.1,39,26,,67.4
Ealing,7.35,2016,21.3,51.40%,23.5,36,31,,69
Enfield,7.23,2016,22.2,60.00%,25.3,28,17,,58.5
Greenwich,7.27,2016,32.9,49.30%,28,41,13,,71.6
Hackney,7.1,2016,39.7,50.20%,27,37,18,,91.2
Hammersmith and Fulham,7.43,2016,33.1,43.80%,22.9,31,17,,98.1
Haringey,7.38,2016,33.9,45.30%,22.4,30,12,,85.8
Harrow,7.72,2016,12.9,57.30%,20.6,34,20,,45.5
Havering,7.44,2016,29.7,54.30%,22.9,56,18,,58.1
Hillingdon,7.36,2016,20.8,58.00%,22.6,48,27,,63.5
Hounslow,7.91,2016,14.1,54.20%,24.4,34,25,,71.3
Islington,7.31,2016,42.6,45.60%,24.9,40,13,,99.9
Kensington and Chelsea,7.52,2016,19.2,42.80%,19.2,23,14,,109.8
Kingston upon Thames,7.58,2016,28.8,43.50%,15.3,38,16,,49.6
Lambeth,7.21,2016,38.8,44.30%,24.6,47,21,,90.8
Lewisham,7.25,2016,37.2,52.00%,23.4,50,25,,68.4
Merton,7.66,2016,30.3,47.50%,21.6,30,20,,53.5
Newham,7.54,2016,10.6,59.30%,26.5,41,19,,77.1
Redbridge,7.53,2016,14,54.00%,23.6,45,17,,56.7
Richmond upon Thames,7.58,2016,35.2,41.80%,13.9,26,12,,49.9
Southwark,7.33,2016,35.5,54.50%,28,45,14,,87.9
Sutton,7.54,2016,26.8,52.10%,18,35,10,,45
Tower Hamlets,7.55,2016,24,49.50%,26.5,46,20,,85.3
Waltham Forest,7.62,2016,22.5,50.10%,25.5,38,18,,64.9
Wandsworth,7.55,2016,35.5,46.20%,20.9,47,23,,65.8
Westminster,7.56,2016,29.5,44.10%,26.4,21,14,,171.3
